,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
43,43,93.6,2022-06-21 12:47:31.598774,2022-06-21 12:47:37.432005,0 days 00:00:05.833231,relu,6,0.01338066636768845,1.056964090634929,timy,0.9866193336323116,64,PRUNED
44,44,9.2,2022-06-21 12:47:37.434749,2022-06-21 12:47:43.000998,0 days 00:00:05.566249,relu,7,0.020444123644989397,0.4411317220722745,timy,0.9795558763550106,128,PRUNED
45,45,9.4,2022-06-21 12:47:43.003549,2022-06-21 12:47:49.109211,0 days 00:00:06.105662,relu,5,0.052399873744465246,0.6611374178389822,timy,0.9476001262555348,32,PRUNED
46,46,163.0,2022-06-21 12:47:49.111227,2022-06-21 12:48:01.044320,0 days 00:00:11.933093,relu,6,0.003108285866588103,0.36994568128049804,small,0.9968917141334119,64,COMPLETE
47,47,460.3,2022-06-21 12:48:01.049532,2022-06-21 12:48:13.105172,0 days 00:00:12.055640,relu,7,0.007424394573852653,0.7641773426191376,timy,0.9925756054261473,128,COMPLETE
48,48,500.0,2022-06-21 12:48:13.107351,2022-06-21 12:48:26.428787,0 days 00:00:13.321436,relu,5,0.010987580080667947,0.5637726199148444,small,0.9890124199193321,32,COMPLETE
49,49,500.0,2022-06-21 12:48:26.431156,2022-06-21 12:48:38.324129,0 days 00:00:11.892973,relu,8,0.012081431236131193,0.49999923147983283,small,0.9879185687638689,256,COMPLETE
50,50,160.7,2022-06-21 12:48:38.326440,2022-06-21 12:48:43.967140,0 days 00:00:05.640700,relu,8,0.018765346678229846,0.5561701492365443,small,0.9812346533217702,256,PRUNED
51,51,378.9,2022-06-21 12:48:43.969027,2022-06-21 12:48:55.736395,0 days 00:00:11.767368,relu,8,0.004288998093416867,0.48967593879776833,small,0.9957110019065831,256,COMPLETE
52,52,9.6,2022-06-21 12:48:55.739125,2022-06-21 12:49:01.467937,0 days 00:00:05.728812,relu,6,0.02916814824241271,0.37921333546027053,small,0.9708318517575872,64,PRUNED
53,53,116.1,2022-06-21 12:49:01.470516,2022-06-21 12:49:07.123646,0 days 00:00:05.653130,relu,7,0.011881389893934469,0.588366945084321,small,0.9881186101060655,128,PRUNED
54,54,159.8,2022-06-21 12:49:07.125896,2022-06-21 12:49:13.606482,0 days 00:00:06.480586,relu,5,0.002174849820293491,0.4037730248582989,small,0.9978251501797065,32,PRUNED
55,55,123.3,2022-06-21 12:49:13.609161,2022-06-21 12:49:19.166904,0 days 00:00:05.557743,relu,8,0.011126351814088862,0.49607491406135346,small,0.9888736481859112,256,PRUNED
56,56,8.9,2022-06-21 12:49:19.169566,2022-06-21 12:49:26.037783,0 days 00:00:06.868217,relu,4,0.006794155780469035,0.6137459887580169,small,0.993205844219531,16,PRUNED
57,57,235.0,2022-06-21 12:49:26.039834,2022-06-21 12:49:39.215913,0 days 00:00:13.176079,relu,5,0.009002261790572943,0.8254923675575234,small,0.990997738209427,32,COMPLETE
58,58,9.4,2022-06-21 12:49:39.218877,2022-06-21 12:49:44.994246,0 days 00:00:05.775369,relu,6,0.017038679090264866,0.6872247536002358,small,0.9829613209097351,64,PRUNED
59,59,269.0,2022-06-21 12:49:44.996194,2022-06-21 12:49:51.884372,0 days 00:00:06.888178,relu,5,0.001461215824092084,0.9943323268695922,timy,0.9985387841759079,32,PRUNED
60,60,9.5,2022-06-21 12:49:51.886298,2022-06-21 12:50:00.042099,0 days 00:00:08.155801,relu,3,0.0300419136117334,1.2538531070872911,timy,0.9699580863882666,8,PRUNED
